core|0.000,0.700,0.000|0|0.00,0.00,0.00|Steel
chassis|0.000,0.700,0.400|0|0.00,0.00,0.00|Steel
chassis|0.000,0.700,-0.400|0|0.00,0.00,0.00|Steel
wheel|0.270,0.700,0.400|0|1.00,0.00,0.00|Rubber
wheel|-0.270,0.700,0.400|0|-1.00,0.00,0.00|Rubber
wheel|0.270,0.700,-0.400|0|1.00,0.00,0.00|Rubber
wheel|-0.270,0.700,-0.400|0|-1.00,0.00,0.00|Rubber
battery|0.000,0.975,0.000|0|0.00,0.00,0.00|Aluminum
engine|0.000,0.975,0.400|0|0.00,0.00,0.00|Steel
pivot|0.000,1.000,-0.400|0|0.00,1.00,0.00|Aluminum
beam|0.450,1.000,-0.400|90|0.00,0.00,0.00|Aluminum
blade|1.000,1.000,-0.400|0|1.00,0.00,0.00|Steel
